question_id,company,doc_name,question_type,question_reasoning,gold_pages_one_indexed,method_key,method_label,predicted_pages,matched_pages_zero_indexed,evidence_recall,citation_precision,answer_verdict,answer_score,input_tokens,output_tokens,total_tokens,latency_ms,adapter_mode,model,answer_rationale
fb_mvp_001,3M,3M_2018_10K,metrics-generated,Information extraction,60,pageindex,PageIndex,"49,60,83",59,1.0,0.3333333333333333,correct,1.0,2613,327,2940,6420,tree_page_scoring,,"The predicted answer states the capital expenditure as $1,577 million, which matches the gold answer of $1577.00 (in millions). The monetary amount is identical, so the answer is correct."
fb_mvp_001,3M,3M_2018_10K,metrics-generated,Information extraction,60,long_context,Long-context,"60,39,49",59,1.0,0.3333333333333333,correct,1.0,139252,353,139605,20845,full_document_context,deepseek/deepseek-v4-pro,"The predicted answer states the capital expenditure as $1,577 million, which matches the gold answer amount of $1577.00 million. It fully answers the question."
fb_mvp_001,3M,3M_2018_10K,metrics-generated,Information extraction,60,vector_rag,Vector RAG + reranker,"60,49,83",59,1.0,0.3333333333333333,correct,1.0,2051,282,2333,6048,tfidf_vector_search_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer provides the exact figure of $1,577 million, which matches the gold answer of $1577.00 million. Both refer to the FY2018 capital expenditure amount for 3M as shown in the cash flow statement."
fb_mvp_001,3M,3M_2018_10K,metrics-generated,Information extraction,60,hybrid_rag,Hybrid RAG,"49,60,83",59,1.0,0.3333333333333333,correct,1.0,2051,296,2347,7188,bm25_tfidf_rrf_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer correctly states the FY2018 capital expenditure as $1,577 million, matching the gold answer $1577.00, and references the cash flow statement."
fb_mvp_002,Amazon,AMAZON_2017_10K,metrics-generated,Numerical reasoning,38,pageindex,PageIndex,"49,38,48",37,1.0,0.3333333333333333,correct,1.0,2716,398,3114,6946,tree_page_scoring,,"The predicted answer gives the year-over-year change as 30.8%, which exactly matches the gold answer. It also provides the calculation, confirming it derived the same result."
fb_mvp_002,Amazon,AMAZON_2017_10K,metrics-generated,Numerical reasoning,38,long_context,Long-context,"38,48,49",37,1.0,0.3333333333333333,correct,1.0,64708,595,65303,16003,full_document_context,deepseek/deepseek-v4-pro,"The predicted answer states the year-over-year increase as 30.8%, which exactly matches the gold answer of 30.8%."
fb_mvp_002,Amazon,AMAZON_2017_10K,metrics-generated,Numerical reasoning,38,vector_rag,Vector RAG + reranker,"38,49,72",37,1.0,0.3333333333333333,correct,1.0,2149,328,2477,7410,tfidf_vector_search_plus_rerank,deepseek/deepseek-v4-pro,The predicted answer gives the exact percentage change (30.8%) as the gold answer and correctly identifies the revenue line item and amounts used for the calculation.
fb_mvp_002,Amazon,AMAZON_2017_10K,metrics-generated,Numerical reasoning,38,hybrid_rag,Hybrid RAG,"38,49,72",37,1.0,0.3333333333333333,correct,1.0,2231,378,2609,10494,bm25_tfidf_rrf_plus_rerank,deepseek/deepseek-v4-pro,"Predicted answer provides the exact percentage 30.8%, matching the gold answer, and includes the calculation and source."
fb_mvp_003,AMD,AMD_2022_10K,domain-relevant,Information extraction,4,pageindex,PageIndex,"60,4,7",3,1.0,0.3333333333333333,correct,1.0,2754,672,3426,11469,tree_page_scoring,,"The predicted answer includes all the major products and services mentioned in the gold answer (server CPUs/GPUs/DPUs/FPGAs/Adaptive SoCs for data centers; CPUs, APUs, chipsets for PCs; discrete GPUs and semi-custom SoCs with development services; embedded CPUs, GPUs, APUs, FPGAs, Adaptive SoCs). It adds additional details about microprocessor/SoC development services and IP licensing, but these do not contradict the gold answer and the core answer matches completely."
fb_mvp_003,AMD,AMD_2022_10K,domain-relevant,Information extraction,4,long_context,Long-context,"4,60,7",3,1.0,0.3333333333333333,correct,1.0,88478,687,89165,19247,full_document_context,deepseek/deepseek-v4-pro,"The predicted answer covers all product and service categories from the gold answer (server CPUs/GPUs/DPUs/FPGAs/Adaptive SoCs, desktop/notebook CPUs/APUs/chipsets, discrete GPUs/semi-custom SoCs/development services, embedded CPUs/GPUs/APUs/FPGAs/Adaptive SoCs). The extra line about IP licensing does not contradict the gold answer and does not omit required information, so the answer fully matches."
